time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
0.703487191,4766636,130044,885882,1419255,35048492,16115972,vgg16
0.71370893,8933655,150960,278528,480137,35982351,39631057,vgg16
0.723906877,14117263,290910,196452,496268,42729560,62385969,vgg16
0.734100043,14609019,312851,113120,387676,42625922,66073123,vgg16
0.744313285,13765227,350761,118209,450063,42790961,62558878,vgg16
0.754508234,13562017,390012,131290,731443,42729144,60302873,vgg16
0.764705095,14352231,335150,111932,465072,42625393,64583832,vgg16
0.774901096,14415667,313604,132812,463233,42728320,65499320,vgg16
0.785095245,15536104,315538,90200,369506,42586672,70021267,vgg16
0.795288694,12811612,385266,176836,626393,42732829,57789600,vgg16
0.805485766,11536601,460009,146512,623680,42719530,52689068,vgg16
0.81568749,11133235,424703,199078,798818,42755489,51750345,vgg16
0.825806589,12122310,423062,162617,766834,42349982,56846907,vgg16
0.836019865,13594652,419998,141877,705228,42633674,64760053,vgg16
0.846226171,12087908,446294,194224,845387,42751184,56499718,vgg16
0.856433525,13341692,459120,146241,727907,42770777,63262637,vgg16
0.866644842,19717760,305209,91928,429103,42777383,100435360,vgg16
0.876833065,19078716,304480,111680,467066,42698728,96071492,vgg16
0.887036748,13610982,420412,142145,656929,42757861,65907945,vgg16
0.897238717,12358603,445485,170453,690868,42755894,57353423,vgg16
0.90744558,12179018,457678,147144,618842,42773460,54716967,vgg16
0.917644821,11231585,351854,228557,717997,42704933,51038405,vgg16
0.927864732,6137337,128402,917309,1445326,33691748,21008669,vgg16
0.938095214,9509292,224900,1044069,1674670,37855755,32604549,vgg16
0.948311654,1770780,71411,773321,1195463,31884472,5676997,vgg16
0.958556844,5150037,114644,372684,704139,31752076,24598180,vgg16
0.979139252,3733876,32651,41091,55561,6924525,13709863,vgg16
0.989375677,542176,3529,6362,9556,1800662,2209072,vgg16
1.00990473,706433,3471,8274,11382,2502218,2416918,vgg16
1.14375539,2937330,16800,20422,32874,9662728,13029087,vgg16
1.154141556,2941917,84359,243414,545764,17962615,14139266,vgg16
1.164287148,8231219,321161,188012,1102717,44742354,43993903,vgg16
1.174531296,8307861,279809,274860,964966,55457901,59129365,vgg16
1.18476946,8460017,238163,384945,1151049,65515757,69367992,vgg16
1.194902864,8834569,222223,325318,977466,67606226,87359358,vgg16
1.20509065,15099954,161984,712463,1378209,153232154,217930278,vgg16
1.215355841,14972402,166467,891241,1614505,153089582,184627879,vgg16
1.225740586,13762126,189038,733814,1440379,139585110,175669859,vgg16
1.236102653,14184216,175074,865483,1605463,148925016,178926615,vgg16
1.246341791,13761082,193924,746450,1484791,142049572,175715763,vgg16
1.2564702,18034270,170451,422592,884900,190393262,323442308,vgg16
1.266649225,26052439,20310,607369,683411,308019822,552572661,vgg16
1.276791991,25926776,19439,604468,678855,307065916,549802100,vgg16
